id,channel_id,duration(sec),domain
BwsMN9PfTJM,UCOqU-HfQxoyImaCW2tCDxJA,885,"news debates,news panel discussions,news roundtables,news talk shows"
HFo-mZM9IBg,UCMi9xvkPHY2Y37Fdwdk0OLA,1028,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d9Heeqm7rhQ,UCOqU-HfQxoyImaCW2tCDxJA,840,"news debates,news panel discussions,news roundtables,news talk shows"
B-z5limnEvc,UCOqU-HfQxoyImaCW2tCDxJA,905,"news debates,news panel discussions,news roundtables,news talk shows"
dOPZBajIzis,UCOqU-HfQxoyImaCW2tCDxJA,320,"news debates,news panel discussions,news roundtables,news talk shows"
P0LLlyZTgsI,UCMi9xvkPHY2Y37Fdwdk0OLA,1123,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
B_CX7ig4wxo,UCOqU-HfQxoyImaCW2tCDxJA,860,"news debates,news panel discussions,news roundtables,news talk shows"
Bj5K9_FD1WA,UCOqU-HfQxoyImaCW2tCDxJA,3140,"news debates,news panel discussions,news roundtables,news talk shows"
bfhXFc_AiMI,UCOqU-HfQxoyImaCW2tCDxJA,885,"news debates,news panel discussions,news roundtables,news talk shows"
iJf1vv0j8eU,UCOqU-HfQxoyImaCW2tCDxJA,1745,"news debates,news panel discussions,news roundtables,news talk shows"
dI7gIwMDP_k,UCOqU-HfQxoyImaCW2tCDxJA,1485,"news debates,news panel discussions,news roundtables,news talk shows"
dIlRB1MQ-hw,UCn6KEMU47oO19OgXRGhofog,207,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
dPXAmMOj270,UCOqU-HfQxoyImaCW2tCDxJA,1785,"news debates,news panel discussions,news roundtables,news talk shows"
4qvRoESErnA,UCOqU-HfQxoyImaCW2tCDxJA,2670,"news debates,news panel discussions,news roundtables,news talk shows"
d5AVqSWo3lc,UCOqU-HfQxoyImaCW2tCDxJA,1760,"news debates,news panel discussions,news roundtables,news talk shows"
lxgS_IIUj-8,UCMi9xvkPHY2Y37Fdwdk0OLA,286,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d5dK_lAzYzY,UCOqU-HfQxoyImaCW2tCDxJA,1645,"news debates,news panel discussions,news roundtables,news talk shows"
q6MbKDbsNFA,UCMi9xvkPHY2Y37Fdwdk0OLA,476,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d6FC1L_XrtY,UCOqU-HfQxoyImaCW2tCDxJA,1420,"news debates,news panel discussions,news roundtables,news talk shows"
